new_product_id,current_title,product_type,custom_label_0,price,total_historical_spend,total_historical_revenue,aggregated_roas,old_product_ids_mapped
gla_445559,"Horse Pasture Seed Mix - Transitional Zone Forage (Zones 3-7) - 10 lb, Covers 20,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Horse Forage,pasture,49.99 USD,7037.18,32139.98,4.57,"12621975593523878229, gla_183556, gla_183557, gla_183558, gla_183570, gla_183571, gla_183572, gla_183584, gla_183585, gla_183586, gla_183612, gla_183613, gla_183614, gla_183640, gla_183641, gla_183642, gla_183696, gla_183697, gla_183698, gla_183724, gla_183725, gla_183726, gla_183780, gla_183781, gla_183782, gla_183808, gla_183809, gla_183810, gla_183836, gla_183837, gla_183838, gla_183864, gla_183865, gla_183866, gla_183892, gla_183893, gla_183894, gla_183920, gla_183921, gla_183922, gla_183948, gla_183949, gla_183950, gla_184011, gla_184012, gla_184013, gla_184394, gla_184395, gla_184396, gla_184397, gla_184398, gla_184399, gla_184400, gla_184401, gla_184839, gla_184840, gla_184841, gla_184842, gla_184843, gla_185013, gla_185014, gla_185015, gla_185041, gla_185042, gla_185043, gla_185069, gla_185070, gla_185071, gla_185475, gla_185476, gla_185477, gla_185478, gla_185479, gla_185480, gla_185481, gla_185482, gla_185499, gla_185500, gla_185501, gla_185502, gla_185503, gla_185504, gla_185505, gla_185506, gla_185511, gla_185512, gla_185513, gla_185514, gla_185515, gla_185516, gla_185517, gla_185518, gla_186793, gla_186805, gla_186806, gla_186807, gla_186812, gla_186813, gla_186814, gla_438225, gla_438226, gla_440368, gla_440376, gla_440384, gla_440409, gla_442089, gla_442090, gla_442092, gla_445282, gla_445559, gla_445851, pb-fth, pb-fth-0.5-a, pb-fth-1-a, pb-fth-2.5-a, pb-fts, pb-glal, pb-glb, pb-gldc, pb-glg, pb-glh, pb-glh-0.5-a, pb-glh-1-a, pb-glh-2.5-a, pb-glp, pb-glpb, pb-glpg, pb-glpg-0.5-a, pb-glpg-1-a, pb-glpg-2.5-a, pb-gph, pb-gph-0.5-a, pb-gph-1-a, pb-gph-2.5-a, pb-iwb, pb-iwg, pb-iwh, pb-iwh-0.5-a, pb-iwh-1-a, pb-iwh-2.5-a, pb-iwpb, pb-iwpg, pb-iwpg-0.5-a, pb-iwpg-1-a, pb-iwpg-2.5-a, pb-mwb, pb-mwbc, pb-mwdc, pb-mwg, pb-mwh, pb-mwh-0.5-a, pb-mwh-1-a, pb-mwh-2.5-a, pb-mwpg, pb-mwpg-0.5-a, pb-mwpg-1-a, pb-mwpg-2.5-a"
gla_445282,"Horse Pasture Seed Mix - Transitional Zone Forage (Zones 3-7) - 20 lb, Covers 40,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Horse Forage,pasture,89.99 USD,7037.18,32139.98,4.57,"12621975593523878229, gla_183556, gla_183557, gla_183558, gla_183570, gla_183571, gla_183572, gla_183584, gla_183585, gla_183586, gla_183612, gla_183613, gla_183614, gla_183640, gla_183641, gla_183642, gla_183696, gla_183697, gla_183698, gla_183724, gla_183725, gla_183726, gla_183780, gla_183781, gla_183782, gla_183808, gla_183809, gla_183810, gla_183836, gla_183837, gla_183838, gla_183864, gla_183865, gla_183866, gla_183892, gla_183893, gla_183894, gla_183920, gla_183921, gla_183922, gla_183948, gla_183949, gla_183950, gla_184011, gla_184012, gla_184013, gla_184394, gla_184395, gla_184396, gla_184397, gla_184398, gla_184399, gla_184400, gla_184401, gla_184839, gla_184840, gla_184841, gla_184842, gla_184843, gla_185013, gla_185014, gla_185015, gla_185041, gla_185042, gla_185043, gla_185069, gla_185070, gla_185071, gla_185475, gla_185476, gla_185477, gla_185478, gla_185479, gla_185480, gla_185481, gla_185482, gla_185499, gla_185500, gla_185501, gla_185502, gla_185503, gla_185504, gla_185505, gla_185506, gla_185511, gla_185512, gla_185513, gla_185514, gla_185515, gla_185516, gla_185517, gla_185518, gla_186793, gla_186805, gla_186806, gla_186807, gla_186812, gla_186813, gla_186814, gla_438225, gla_438226, gla_440368, gla_440376, gla_440384, gla_440409, gla_442089, gla_442090, gla_442092, gla_445282, gla_445559, gla_445851, pb-fth, pb-fth-0.5-a, pb-fth-1-a, pb-fth-2.5-a, pb-fts, pb-glal, pb-glb, pb-gldc, pb-glg, pb-glh, pb-glh-0.5-a, pb-glh-1-a, pb-glh-2.5-a, pb-glp, pb-glpb, pb-glpg, pb-glpg-0.5-a, pb-glpg-1-a, pb-glpg-2.5-a, pb-gph, pb-gph-0.5-a, pb-gph-1-a, pb-gph-2.5-a, pb-iwb, pb-iwg, pb-iwh, pb-iwh-0.5-a, pb-iwh-1-a, pb-iwh-2.5-a, pb-iwpb, pb-iwpg, pb-iwpg-0.5-a, pb-iwpg-1-a, pb-iwpg-2.5-a, pb-mwb, pb-mwbc, pb-mwdc, pb-mwg, pb-mwh, pb-mwh-0.5-a, pb-mwh-1-a, pb-mwh-2.5-a, pb-mwpg, pb-mwpg-0.5-a, pb-mwpg-1-a, pb-mwpg-2.5-a"
gla_445851,"Horse Pasture Seed Mix - Transitional Zone Forage (Zones 3-7) - 50 lb, Covers 100,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Horse Forage,pasture,209.99 USD,7037.18,32139.98,4.57,"12621975593523878229, gla_183556, gla_183557, gla_183558, gla_183570, gla_183571, gla_183572, gla_183584, gla_183585, gla_183586, gla_183612, gla_183613, gla_183614, gla_183640, gla_183641, gla_183642, gla_183696, gla_183697, gla_183698, gla_183724, gla_183725, gla_183726, gla_183780, gla_183781, gla_183782, gla_183808, gla_183809, gla_183810, gla_183836, gla_183837, gla_183838, gla_183864, gla_183865, gla_183866, gla_183892, gla_183893, gla_183894, gla_183920, gla_183921, gla_183922, gla_183948, gla_183949, gla_183950, gla_184011, gla_184012, gla_184013, gla_184394, gla_184395, gla_184396, gla_184397, gla_184398, gla_184399, gla_184400, gla_184401, gla_184839, gla_184840, gla_184841, gla_184842, gla_184843, gla_185013, gla_185014, gla_185015, gla_185041, gla_185042, gla_185043, gla_185069, gla_185070, gla_185071, gla_185475, gla_185476, gla_185477, gla_185478, gla_185479, gla_185480, gla_185481, gla_185482, gla_185499, gla_185500, gla_185501, gla_185502, gla_185503, gla_185504, gla_185505, gla_185506, gla_185511, gla_185512, gla_185513, gla_185514, gla_185515, gla_185516, gla_185517, gla_185518, gla_186793, gla_186805, gla_186806, gla_186807, gla_186812, gla_186813, gla_186814, gla_438225, gla_438226, gla_440368, gla_440376, gla_440384, gla_440409, gla_442089, gla_442090, gla_442092, gla_445282, gla_445559, gla_445851, pb-fth, pb-fth-0.5-a, pb-fth-1-a, pb-fth-2.5-a, pb-fts, pb-glal, pb-glb, pb-gldc, pb-glg, pb-glh, pb-glh-0.5-a, pb-glh-1-a, pb-glh-2.5-a, pb-glp, pb-glpb, pb-glpg, pb-glpg-0.5-a, pb-glpg-1-a, pb-glpg-2.5-a, pb-gph, pb-gph-0.5-a, pb-gph-1-a, pb-gph-2.5-a, pb-iwb, pb-iwg, pb-iwh, pb-iwh-0.5-a, pb-iwh-1-a, pb-iwh-2.5-a, pb-iwpb, pb-iwpg, pb-iwpg-0.5-a, pb-iwpg-1-a, pb-iwpg-2.5-a, pb-mwb, pb-mwbc, pb-mwdc, pb-mwg, pb-mwh, pb-mwh-0.5-a, pb-mwh-1-a, pb-mwh-2.5-a, pb-mwpg, pb-mwpg-0.5-a, pb-mwpg-1-a, pb-mwpg-2.5-a"
gla_445861,"Horse Pasture Seed Mix - Cold Season Northern Forage - 10 lb, Covers 20,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Horse Forage,pasture,29.99 USD,5667.66,21009.0,3.71,"8950709010544514463, gla_183542, gla_183543, gla_183544, gla_183563, gla_183564, gla_183565, gla_183626, gla_183627, gla_183628, gla_183647, gla_183648, gla_183649, gla_183710, gla_183711, gla_183712, gla_183731, gla_183732, gla_183733, gla_183794, gla_183795, gla_183796, gla_183815, gla_183816, gla_183817, gla_183878, gla_183879, gla_183880, gla_183899, gla_183900, gla_183901, gla_183962, gla_183963, gla_183964, gla_184286, gla_184287, gla_184288, gla_184289, gla_184290, gla_184291, gla_184292, gla_184293, gla_184749, gla_184999, gla_185000, gla_185001, gla_185020, gla_185021, gla_185022, gla_185523, gla_185524, gla_185525, gla_185526, gla_185527, gla_185528, gla_185529, gla_185530, gla_185583, gla_185584, gla_185585, gla_185586, gla_185587, gla_185588, gla_185589, gla_185590, gla_186819, gla_186820, gla_186821, gla_186826, gla_186827, gla_186828, gla_441810, gla_442115, gla_445280, gla_445860, gla_445861, pb-pnwbc, pb-pnwdc, pb-pnwg, pb-pnwh, pb-pnwh-0.5-a, pb-pnwh-1-a, pb-pnwh-2.5-a, pb-pnwpb, pb-pnwpg, pb-pnwpg-0.5-a, pb-pnwpg-1-a, pb-pnwpg-2.5-a, pb-pswb, pb-pswpg, pb-pswpg-0.5-a, pb-pswpg-1-a, pb-pswpg-2.5-a"
gla_445860,"Horse Pasture Seed Mix - Cold Season Northern Forage - 20 lb, Covers 40,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Horse Forage,pasture,49.99 USD,5667.66,21009.0,3.71,"8950709010544514463, gla_183542, gla_183543, gla_183544, gla_183563, gla_183564, gla_183565, gla_183626, gla_183627, gla_183628, gla_183647, gla_183648, gla_183649, gla_183710, gla_183711, gla_183712, gla_183731, gla_183732, gla_183733, gla_183794, gla_183795, gla_183796, gla_183815, gla_183816, gla_183817, gla_183878, gla_183879, gla_183880, gla_183899, gla_183900, gla_183901, gla_183962, gla_183963, gla_183964, gla_184286, gla_184287, gla_184288, gla_184289, gla_184290, gla_184291, gla_184292, gla_184293, gla_184749, gla_184999, gla_185000, gla_185001, gla_185020, gla_185021, gla_185022, gla_185523, gla_185524, gla_185525, gla_185526, gla_185527, gla_185528, gla_185529, gla_185530, gla_185583, gla_185584, gla_185585, gla_185586, gla_185587, gla_185588, gla_185589, gla_185590, gla_186819, gla_186820, gla_186821, gla_186826, gla_186827, gla_186828, gla_441810, gla_442115, gla_445280, gla_445860, gla_445861, pb-pnwbc, pb-pnwdc, pb-pnwg, pb-pnwh, pb-pnwh-0.5-a, pb-pnwh-1-a, pb-pnwh-2.5-a, pb-pnwpb, pb-pnwpg, pb-pnwpg-0.5-a, pb-pnwpg-1-a, pb-pnwpg-2.5-a, pb-pswb, pb-pswpg, pb-pswpg-0.5-a, pb-pswpg-1-a, pb-pswpg-2.5-a"
gla_445280,"Horse Pasture Seed Mix - Cold Season Northern Forage - 50 lb, Covers 100,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Horse Forage,pasture,119.99 USD,5667.66,21009.0,3.71,"8950709010544514463, gla_183542, gla_183543, gla_183544, gla_183563, gla_183564, gla_183565, gla_183626, gla_183627, gla_183628, gla_183647, gla_183648, gla_183649, gla_183710, gla_183711, gla_183712, gla_183731, gla_183732, gla_183733, gla_183794, gla_183795, gla_183796, gla_183815, gla_183816, gla_183817, gla_183878, gla_183879, gla_183880, gla_183899, gla_183900, gla_183901, gla_183962, gla_183963, gla_183964, gla_184286, gla_184287, gla_184288, gla_184289, gla_184290, gla_184291, gla_184292, gla_184293, gla_184749, gla_184999, gla_185000, gla_185001, gla_185020, gla_185021, gla_185022, gla_185523, gla_185524, gla_185525, gla_185526, gla_185527, gla_185528, gla_185529, gla_185530, gla_185583, gla_185584, gla_185585, gla_185586, gla_185587, gla_185588, gla_185589, gla_185590, gla_186819, gla_186820, gla_186821, gla_186826, gla_186827, gla_186828, gla_441810, gla_442115, gla_445280, gla_445860, gla_445861, pb-pnwbc, pb-pnwdc, pb-pnwg, pb-pnwh, pb-pnwh-0.5-a, pb-pnwh-1-a, pb-pnwh-2.5-a, pb-pnwpb, pb-pnwpg, pb-pnwpg-0.5-a, pb-pnwpg-1-a, pb-pnwpg-2.5-a, pb-pswb, pb-pswpg, pb-pswpg-0.5-a, pb-pswpg-1-a, pb-pswpg-2.5-a"
gla_445557,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 25 lb, Covers 50,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Poultry Forage,pasture,89.95 USD,4805.05,19098.18,3.97,"1113844381927015347, 16072454010820768888, 17910775112382531763, 1972218362181840372, 5520651504317822982, gla_182976, gla_182977, gla_182978, gla_183598, gla_183599, gla_183600, gla_183619, gla_183620, gla_183621, gla_183633, gla_183634, gla_183635, gla_183682, gla_183683, gla_183684, gla_183703, gla_183704, gla_183705, gla_183717, gla_183718, gla_183719, gla_183766, gla_183767, gla_183768, gla_183773, gla_183774, gla_183775, gla_183787, gla_183788, gla_183789, gla_183801, gla_183802, gla_183803, gla_183851, gla_183852, gla_183871, gla_183872, gla_183873, gla_183934, gla_183935, gla_183936, gla_183983, gla_183984, gla_183985, gla_183990, gla_183991, gla_183992, gla_184018, gla_184019, gla_184020, gla_184032, gla_184033, gla_184034, gla_184039, gla_184040, gla_184041, gla_184382, gla_184383, gla_184384, gla_184385, gla_184386, gla_184387, gla_184388, gla_184389, gla_184758, gla_184759, gla_184760, gla_184761, gla_184762, gla_184767, gla_184768, gla_184769, gla_184770, gla_184771, gla_184821, gla_184822, gla_184823, gla_184824, gla_184825, gla_184830, gla_184831, gla_184832, gla_184833, gla_184834, gla_184848, gla_184849, gla_184850, gla_184851, gla_184852, gla_184901, gla_184902, gla_184903, gla_185006, gla_185007, gla_185008, gla_185055, gla_185056, gla_185057, gla_185078, gla_185463, gla_185464, gla_185465, gla_185466, gla_185467, gla_185468, gla_185469, gla_185470, gla_185547, gla_185548, gla_185549, gla_185550, gla_185551, gla_185552, gla_185553, gla_185554, gla_185559, gla_185560, gla_185561, gla_185562, gla_185563, gla_185564, gla_185565, gla_185566, gla_185595, gla_185596, gla_185597, gla_185598, gla_185599, gla_185600, gla_185601, gla_185602, gla_186784, gla_186785, gla_186786, gla_186840, gla_186841, gla_186842, gla_186847, gla_186848, gla_186849, gla_440347, gla_445261, gla_445557, gla_445869, pb-ftal, pb-ftb, pb-ftbc, pb-ftdc, pb-ftg, pb-ftp, pb-ftpb, pb-ftpb-0.5-a, pb-ftpb-1-a, pb-ftpb-1000-f, pb-ftpb-1500-f, pb-ftpb-2.5-a, pb-ftpb-2000-f, pb-ftpb-500-f, pb-ftpb-5000-f, pb-gppb, pb-gppb-0.5-a, pb-gppb-1-a, pb-gppb-1000-f, pb-gppb-1500-f, pb-gppb-2.5-a, pb-gppb-2000-f, pb-gppb-500-f, pb-gppb-5000-f, pb-mwp, pb-mwpb, pb-mwpb-0.5-a, pb-mwpb-1-a, pb-mwpb-1000-f, pb-mwpb-1500-f, pb-mwpb-2.5-a, pb-mwpb-2000-f, pb-mwpb-500-f, pb-mwpb-5000-f, pb-pswpb, pb-pswpb-0.5-a, pb-pswpb-1-a, pb-pswpb-1000-f, pb-pswpb-1500-f, pb-pswpb-2.5-a, pb-pswpb-2000-f, pb-pswpb-500-f, pb-pswpb-5000-f, pb-satec, pb-satpb, pb-satpb-0.5-a, pb-satpb-1-a, pb-satpb-1000-f, pb-satpb-1500-f, pb-satpb-2.5-a, pb-satpb-2000-f, pb-satpb-500-f, pb-satpb-5000-f, pb-ssal, pb-ssb, pb-ssbc, pb-ssdc, pb-ssg, pb-ssh, pb-ssp, pb-sspb, pb-sspb-0.5-a, pb-sspb-1-a, pb-sspb-1000-f, pb-sspb-1500-f, pb-sspb-2.5-a, pb-sspb-2000-f, pb-sspb-500-f, pb-sspb-5000-f, pb-sspg, pb-sspg-0.5-a, pb-sspg-1-a, pb-sspg-2.5-a, pb-swdal, pb-swdbc, pb-swdp, pb-swdpb, pb-swdpb-0.5-a, pb-swdpb-1-a, pb-swdpb-1000-f, pb-swdpb-1500-f, pb-swdpb-2.5-a, pb-swdpb-2000-f, pb-swdpb-500-f, pb-swdpb-5000-f, pb-swdpg, pb-swdpg-0.5-a, pb-swdpg-1-a, pb-swdpg-2.5-a, pb-swtp, pb-swtpb, pb-swtpb-0.5-a, pb-swtpb-1-a, pb-swtpb-1000-f, pb-swtpb-1500-f, pb-swtpb-2.5-a, pb-swtpb-2000-f, pb-swtpb-500-f, pb-swtpb-5000-f, pb-swts"
gla_445869,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 5 lb, Covers 10,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Poultry Forage,pasture,19.99 USD,4805.05,19098.18,3.97,"1113844381927015347, 16072454010820768888, 17910775112382531763, 1972218362181840372, 5520651504317822982, gla_182976, gla_182977, gla_182978, gla_183598, gla_183599, gla_183600, gla_183619, gla_183620, gla_183621, gla_183633, gla_183634, gla_183635, gla_183682, gla_183683, gla_183684, gla_183703, gla_183704, gla_183705, gla_183717, gla_183718, gla_183719, gla_183766, gla_183767, gla_183768, gla_183773, gla_183774, gla_183775, gla_183787, gla_183788, gla_183789, gla_183801, gla_183802, gla_183803, gla_183851, gla_183852, gla_183871, gla_183872, gla_183873, gla_183934, gla_183935, gla_183936, gla_183983, gla_183984, gla_183985, gla_183990, gla_183991, gla_183992, gla_184018, gla_184019, gla_184020, gla_184032, gla_184033, gla_184034, gla_184039, gla_184040, gla_184041, gla_184382, gla_184383, gla_184384, gla_184385, gla_184386, gla_184387, gla_184388, gla_184389, gla_184758, gla_184759, gla_184760, gla_184761, gla_184762, gla_184767, gla_184768, gla_184769, gla_184770, gla_184771, gla_184821, gla_184822, gla_184823, gla_184824, gla_184825, gla_184830, gla_184831, gla_184832, gla_184833, gla_184834, gla_184848, gla_184849, gla_184850, gla_184851, gla_184852, gla_184901, gla_184902, gla_184903, gla_185006, gla_185007, gla_185008, gla_185055, gla_185056, gla_185057, gla_185078, gla_185463, gla_185464, gla_185465, gla_185466, gla_185467, gla_185468, gla_185469, gla_185470, gla_185547, gla_185548, gla_185549, gla_185550, gla_185551, gla_185552, gla_185553, gla_185554, gla_185559, gla_185560, gla_185561, gla_185562, gla_185563, gla_185564, gla_185565, gla_185566, gla_185595, gla_185596, gla_185597, gla_185598, gla_185599, gla_185600, gla_185601, gla_185602, gla_186784, gla_186785, gla_186786, gla_186840, gla_186841, gla_186842, gla_186847, gla_186848, gla_186849, gla_440347, gla_445261, gla_445557, gla_445869, pb-ftal, pb-ftb, pb-ftbc, pb-ftdc, pb-ftg, pb-ftp, pb-ftpb, pb-ftpb-0.5-a, pb-ftpb-1-a, pb-ftpb-1000-f, pb-ftpb-1500-f, pb-ftpb-2.5-a, pb-ftpb-2000-f, pb-ftpb-500-f, pb-ftpb-5000-f, pb-gppb, pb-gppb-0.5-a, pb-gppb-1-a, pb-gppb-1000-f, pb-gppb-1500-f, pb-gppb-2.5-a, pb-gppb-2000-f, pb-gppb-500-f, pb-gppb-5000-f, pb-mwp, pb-mwpb, pb-mwpb-0.5-a, pb-mwpb-1-a, pb-mwpb-1000-f, pb-mwpb-1500-f, pb-mwpb-2.5-a, pb-mwpb-2000-f, pb-mwpb-500-f, pb-mwpb-5000-f, pb-pswpb, pb-pswpb-0.5-a, pb-pswpb-1-a, pb-pswpb-1000-f, pb-pswpb-1500-f, pb-pswpb-2.5-a, pb-pswpb-2000-f, pb-pswpb-500-f, pb-pswpb-5000-f, pb-satec, pb-satpb, pb-satpb-0.5-a, pb-satpb-1-a, pb-satpb-1000-f, pb-satpb-1500-f, pb-satpb-2.5-a, pb-satpb-2000-f, pb-satpb-500-f, pb-satpb-5000-f, pb-ssal, pb-ssb, pb-ssbc, pb-ssdc, pb-ssg, pb-ssh, pb-ssp, pb-sspb, pb-sspb-0.5-a, pb-sspb-1-a, pb-sspb-1000-f, pb-sspb-1500-f, pb-sspb-2.5-a, pb-sspb-2000-f, pb-sspb-500-f, pb-sspb-5000-f, pb-sspg, pb-sspg-0.5-a, pb-sspg-1-a, pb-sspg-2.5-a, pb-swdal, pb-swdbc, pb-swdp, pb-swdpb, pb-swdpb-0.5-a, pb-swdpb-1-a, pb-swdpb-1000-f, pb-swdpb-1500-f, pb-swdpb-2.5-a, pb-swdpb-2000-f, pb-swdpb-500-f, pb-swdpb-5000-f, pb-swdpg, pb-swdpg-0.5-a, pb-swdpg-1-a, pb-swdpg-2.5-a, pb-swtp, pb-swtpb, pb-swtpb-0.5-a, pb-swtpb-1-a, pb-swtpb-1000-f, pb-swtpb-1500-f, pb-swtpb-2.5-a, pb-swtpb-2000-f, pb-swtpb-500-f, pb-swtpb-5000-f, pb-swts"
gla_445261,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 50 lb, Covers 100,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Poultry Forage,pasture,169.91 USD,4805.05,19098.18,3.97,"1113844381927015347, 16072454010820768888, 17910775112382531763, 1972218362181840372, 5520651504317822982, gla_182976, gla_182977, gla_182978, gla_183598, gla_183599, gla_183600, gla_183619, gla_183620, gla_183621, gla_183633, gla_183634, gla_183635, gla_183682, gla_183683, gla_183684, gla_183703, gla_183704, gla_183705, gla_183717, gla_183718, gla_183719, gla_183766, gla_183767, gla_183768, gla_183773, gla_183774, gla_183775, gla_183787, gla_183788, gla_183789, gla_183801, gla_183802, gla_183803, gla_183851, gla_183852, gla_183871, gla_183872, gla_183873, gla_183934, gla_183935, gla_183936, gla_183983, gla_183984, gla_183985, gla_183990, gla_183991, gla_183992, gla_184018, gla_184019, gla_184020, gla_184032, gla_184033, gla_184034, gla_184039, gla_184040, gla_184041, gla_184382, gla_184383, gla_184384, gla_184385, gla_184386, gla_184387, gla_184388, gla_184389, gla_184758, gla_184759, gla_184760, gla_184761, gla_184762, gla_184767, gla_184768, gla_184769, gla_184770, gla_184771, gla_184821, gla_184822, gla_184823, gla_184824, gla_184825, gla_184830, gla_184831, gla_184832, gla_184833, gla_184834, gla_184848, gla_184849, gla_184850, gla_184851, gla_184852, gla_184901, gla_184902, gla_184903, gla_185006, gla_185007, gla_185008, gla_185055, gla_185056, gla_185057, gla_185078, gla_185463, gla_185464, gla_185465, gla_185466, gla_185467, gla_185468, gla_185469, gla_185470, gla_185547, gla_185548, gla_185549, gla_185550, gla_185551, gla_185552, gla_185553, gla_185554, gla_185559, gla_185560, gla_185561, gla_185562, gla_185563, gla_185564, gla_185565, gla_185566, gla_185595, gla_185596, gla_185597, gla_185598, gla_185599, gla_185600, gla_185601, gla_185602, gla_186784, gla_186785, gla_186786, gla_186840, gla_186841, gla_186842, gla_186847, gla_186848, gla_186849, gla_440347, gla_445261, gla_445557, gla_445869, pb-ftal, pb-ftb, pb-ftbc, pb-ftdc, pb-ftg, pb-ftp, pb-ftpb, pb-ftpb-0.5-a, pb-ftpb-1-a, pb-ftpb-1000-f, pb-ftpb-1500-f, pb-ftpb-2.5-a, pb-ftpb-2000-f, pb-ftpb-500-f, pb-ftpb-5000-f, pb-gppb, pb-gppb-0.5-a, pb-gppb-1-a, pb-gppb-1000-f, pb-gppb-1500-f, pb-gppb-2.5-a, pb-gppb-2000-f, pb-gppb-500-f, pb-gppb-5000-f, pb-mwp, pb-mwpb, pb-mwpb-0.5-a, pb-mwpb-1-a, pb-mwpb-1000-f, pb-mwpb-1500-f, pb-mwpb-2.5-a, pb-mwpb-2000-f, pb-mwpb-500-f, pb-mwpb-5000-f, pb-pswpb, pb-pswpb-0.5-a, pb-pswpb-1-a, pb-pswpb-1000-f, pb-pswpb-1500-f, pb-pswpb-2.5-a, pb-pswpb-2000-f, pb-pswpb-500-f, pb-pswpb-5000-f, pb-satec, pb-satpb, pb-satpb-0.5-a, pb-satpb-1-a, pb-satpb-1000-f, pb-satpb-1500-f, pb-satpb-2.5-a, pb-satpb-2000-f, pb-satpb-500-f, pb-satpb-5000-f, pb-ssal, pb-ssb, pb-ssbc, pb-ssdc, pb-ssg, pb-ssh, pb-ssp, pb-sspb, pb-sspb-0.5-a, pb-sspb-1-a, pb-sspb-1000-f, pb-sspb-1500-f, pb-sspb-2.5-a, pb-sspb-2000-f, pb-sspb-500-f, pb-sspb-5000-f, pb-sspg, pb-sspg-0.5-a, pb-sspg-1-a, pb-sspg-2.5-a, pb-swdal, pb-swdbc, pb-swdp, pb-swdpb, pb-swdpb-0.5-a, pb-swdpb-1-a, pb-swdpb-1000-f, pb-swdpb-1500-f, pb-swdpb-2.5-a, pb-swdpb-2000-f, pb-swdpb-500-f, pb-swdpb-5000-f, pb-swdpg, pb-swdpg-0.5-a, pb-swdpg-1-a, pb-swdpg-2.5-a, pb-swtp, pb-swtpb, pb-swtpb-0.5-a, pb-swtpb-1-a, pb-swtpb-1000-f, pb-swtpb-1500-f, pb-swtpb-2.5-a, pb-swtpb-2000-f, pb-swtpb-500-f, pb-swtpb-5000-f, pb-swts"
gla_445284,"Sheep Pasture Seed Mix - Cold Season, High-Protein Legume - 10 lb, Covers 20,000 sq ft | Nature's Seed",Pasture Seeds > Pasture Seeds Mix > Mix for Sheep Forage,pasture,49.99 USD,4951.43,18676.15,3.77,"2851269121087583946, 3904270741020649422, 423987094353553138, gla_182934, gla_182935, gla_182936, gla_184298, gla_184299, gla_184300, gla_184301, gla_184302, gla_184303, gla_184304, gla_184305, gla_184750, gla_184751, gla_184752, gla_184753, gla_184776, gla_184777, gla_184778, gla_184779, gla_184780, gla_187102, gla_187105, gla_187106, gla_192000, gla_192001, gla_192002, gla_192003, gla_192004, gla_192006, gla_192007, gla_192009, gla_192010, gla_192011, gla_406929, gla_440382, gla_445284, gla_445843, gla_445844, pb-pnwal, pb-pnwal-0.5-a, pb-pnwal-1-a, pb-pnwal-2.5-a, pb-pnwb, pb-pnwb-0.5-a, pb-pnwb-1-a, pb-pnwb-2.5-a, pb-pnwd, pb-pnwhb, pb-pnwhb-0.5-a, pb-pnwhb-1-a, pb-pnwhb-1000-f, pb-pnwhb-1500-f, pb-pnwhb-2.5-a, pb-pnwhb-2000-f, pb-pnwhb-500-f, pb-pnwhb-5000-f, pb-pnwp, pb-pnwp-1000-f, pb-pnwp-1500-f, pb-pnwp-2000-f, pb-pnwp-500-f, pb-pnwp-5000-f, pb-pnws, pb-pnws-0.5-a, pb-pnws-1-a, pb-pnws-2.5-a, pb-pswal-0.5-a, pb-pswal-1-a, pb-pswal-2.5-a, pb-pswd, pb-pswp, turf-ne-2000-f, turf-nw, turf-nw-1000-f, turf-nw-1500-f, turf-nw-2000-f, turf-nw-500-f, turf-nw-5000-f, turf-wns, turf-wns-1000-f, turf-wns-1500-f, turf-wns-2000-f, turf-wns-500-f, turf-wns-5000-f, turf-wnw, turf-wnw-1000-f, turf-wnw-1500-f, turf-wnw-2000-f, turf-wnw-500-f, turf-wnw-5000-f, wb-ne, wb-nw"
